identifier,entity
SORTING ASSISTANT,SORTING ASSISTANT
DEPUTY SUPERINTENDENT OF EXCISE,DEPUTY SUPERINTENDENT OF EXCISE
EXCISE INSPECTOR,EXCISE INSPECTOR
EXCISE SUB INSPECTOR,EXCISE SUB INSPECTOR
FIRST DIVISION ASSISTANT,FIRST DIVISION ASSISTANT
SECOND DIVISION ASSISTANT,SECOND DIVISION ASSISTANT
EXCISE HEAD CONSTABLE,EXCISE HEAD CONSTABLE
EXCISE CONSTABLE,EXCISE CONSTABLE
DEPUTY ORE DRESSING OFFICER,DEPUTY ORE DRESSING OFFICER
JUNIOR WIRELESS OFFICER,JUNIOR WIRELESS OFFICER
TELECOM OFFICE ASSISTANT,TELECOM OFFICE ASSISTANT
JAILOR,JAILOR
JUNIOR SYSTEM ANALYST,JUNIOR SYSTEM ANALYST
CHIEF VIGILANCE INSPECTOR,CHIEF VIGILANCE INSPECTOR
SENIOR ASSISTANT FINANCIAL ADVISOR,SENIOR ASSISTANT FINANCIAL ADVISOR
VIGILANCE INSPECTOR,VIGILANCE INSPECTOR
SERICULTURE ASSISTANT,SERICULTURE ASSISTANT
PATWARI,PATWARI
GRADING/MARKETING INSPECTOR,GRADING/MARKETING INSPECTOR
CONTROLLER GENERAL OF COMMUNICATION ACCOUNTS,CONTROLLER GENERAL OF COMMUNICATION ACCOUNTS
ADDITIONAL CONTROLLER GENERAL OF COMMUNICATION ACCOUNTS,ADDITIONAL CONTROLLER GENERAL OF COMMUNICATION ACCOUNTS
SENIOR JOINT CONTROLLER GENERAL OF COMMUNICATION ACCOUNTS,SENIOR JOINT CONTROLLER GENERAL OF COMMUNICATION ACCOUNTS
JOINT CONTROLLER GENERAL OF COMMUNICATION,JOINT CONTROLLER GENERAL OF COMMUNICATION
DEPUTY CONTROLLER GENERAL OF COMMUNICATION ACCOUNTS,DEPUTY CONTROLLER GENERAL OF COMMUNICATION ACCOUNTS
ASSISTANT CONTROLLER GENERAL OF COMMUNICATION ACCOUNTS,ASSISTANT CONTROLLER GENERAL OF COMMUNICATION ACCOUNTS
SENIOR TELECOM OPERATING ASSISTANT,SENIOR TELECOM OPERATING ASSISTANT
CHIEF TOWN PLANNER,CHIEF TOWN PLANNER
SENIOR TOWN PLANNER,SENIOR TOWN PLANNER
TOWN PLANNER,TOWN PLANNER
ASSISTANT TOWN PLANNER,ASSISTANT TOWN PLANNER
PLANNING ASSISTANT,PLANNING ASSISTANT
JUNIOR SCALE STENOGRAPHER,JUNIOR SCALE STENOGRAPHER
JOINT CONTROLLER GENERAL OF COMMUNICATION ACCOUNTS,JOINT CONTROLLER GENERAL OF COMMUNICATION ACCOUNTS
ASSISTANT HANDICRAFTS TRAINING OFFICER,ASSISTANT HANDICRAFTS TRAINING OFFICER
HANDICRAFTS TRAINING OFFICER,HANDICRAFTS TRAINING OFFICER
DEMONSTRATOR ELECTRICAL ENGINEERING,DEMONSTRATOR ELECTRICAL ENGINEERING
DIVISIONAL ACCOUNTS OFFICER,DIVISIONAL ACCOUNTS OFFICER
ASSISTANT ELECTRONIC DATA PROCESSING SUPERVISOR,ASSISTANT ELECTRONIC DATA PROCESSING SUPERVISOR
SENIOR DATA ENTRY OPERATOR,SENIOR DATA ENTRY OPERATOR
JUNIOR AGRICULTURE EXTENSION OFFICER,JUNIOR AGRICULTURE EXTENSION OFFICER
EXTENSION OFFICER,EXTENSION OFFICER
ADDITIONAL RESEARCH OFFICER,ADDITIONAL RESEARCH OFFICER
ASSISTANT REVIEW OFFICER,ASSISTANT REVIEW OFFICER
REVIEW OFFICER,REVIEW OFFICER
COMPUTER TYPIST,COMPUTER TYPIST
COMPUTER PROGRAMMER,COMPUTER PROGRAMMER
CHIEF ASSISTANT,CHIEF ASSISTANT
PERSONNEL OFFICER,PERSONNEL OFFICER
MANAGEMENT TRAINEE,MANAGEMENT TRAINEE
JUNIOR SCIENTIFIC ASSISTANT,JUNIOR SCIENTIFIC ASSISTANT
DEMONSTRATOR-PROCESSING,DEMONSTRATOR-PROCESSING
DEMONSTRATOR-WEAVING,DEMONSTRATOR-WEAVING
TECHNICAL SUPERINTENDENT-PROCESSING,TECHNICAL SUPERINTENDENT-PROCESSING
TECHNICAL SUPERINTENDENT-WEAVING,TECHNICAL SUPERINTENDENT-WEAVING
JUNIOR PRINTER,JUNIOR PRINTER
JUNIOR WEAVER,JUNIOR WEAVER
FORESTER,FORESTER
DEPUTY FORESTER,DEPUTY FORESTER
WATCHER,WATCHER
REHBAR-E-JANGLAT,REHBAR-E-JANGLAT
DEPUTY DIRECTOR HORTICULTURE,DEPUTY DIRECTOR HORTICULTURE
CHIEF HORTICULTURE OFFICER,CHIEF HORTICULTURE OFFICER
DISTRICT HORTICULTURE OFFICE,DISTRICT HORTICULTURE OFFICE
PEST CONTROL WORKER,PEST CONTROL WORKER
ASSISTANT PLANT PROTECTION OFFICER,ASSISTANT PLANT PROTECTION OFFICER
SENIOR PRINTER,SENIOR PRINTER
SECOND SECRETARY,SECOND SECRETARY
POSTMAN,POSTMAN
CHIEF LAW ASSISTANT,CHIEF LAW ASSISTANT
ADHIKARI,ADHIKARI
ASSISTANT LOCO PILOT,ASSISTANT LOCO PILOT
INFORMATION COMMUNICATION TECHNOLOGY -ICT OFFICER,INFORMATION COMMUNICATION TECHNOLOGY -ICT OFFICER
DIRECTOR I,DIRECTOR I
DIRECTOR II,DIRECTOR II
DIRECTOR III,DIRECTOR III
FIRST APPELLATE AUTHORITY,FIRST APPELLATE AUTHORITY
TRANSPARENCY OFFICER,TRANSPARENCY OFFICER
HEAD-MARKETING,HEAD-MARKETING
HEAD-PURCHASE,HEAD-PURCHASE
HEAD- OPTICAL TECHNOLOGIES,HEAD- OPTICAL TECHNOLOGIES
GROUP LEADER,GROUP LEADER
SENIOR MANAGER STORES,SENIOR MANAGER STORES
MANAGER VIGILANCE,MANAGER VIGILANCE
MANAGER PROJECT MONITORING,MANAGER PROJECT MONITORING
MANAGER DOCUMENTATION,MANAGER DOCUMENTATION
MANAGER ADMIN,MANAGER ADMIN
MANAGER PURCHASE,MANAGER PURCHASE
MANAGER STORES,MANAGER STORES
MANAGER CAMPUS,MANAGER CAMPUS
SENIOR RESEARCH ENGINEER,SENIOR RESEARCH ENGINEER
RESEARCH ENGINEER,RESEARCH ENGINEER
FIELD SUPPORT ENGINEER,FIELD SUPPORT ENGINEER
EXECUTIVE STORES,EXECUTIVE STORES
EXECUTIVE CAMPUS,EXECUTIVE CAMPUS
EXECUTIVE PURCHASE,EXECUTIVE PURCHASE
EXECUTIVE ADMIN,EXECUTIVE ADMIN
EXECUTIVE LEGAL,EXECUTIVE LEGAL
EXECUTIVE FINANCE,EXECUTIVE FINANCE
CENTRAL PUBLIC INFORMATION OFFICER,CENTRAL PUBLIC INFORMATION OFFICER
ASSISTANT PUBLIC INFORMATION OFFICER,ASSISTANT PUBLIC INFORMATION OFFICER
SENIOR MANAGER PERSONNEL AND HUMAN RESOURCE,SENIOR MANAGER PERSONNEL AND HUMAN RESOURCE
MANAGER PERSONNEL AND HUMAN RESOURCE,MANAGER PERSONNEL AND HUMAN RESOURCE
ENTERPRISE RESOURCE PLANNING,ENTERPRISE RESOURCE PLANNING
MANAGEMENT INFORMATION SYSTEM,MANAGEMENT INFORMATION SYSTEM
EXECUTIVE KNOWLEDGE MANAGEMENT GROUP,EXECUTIVE KNOWLEDGE MANAGEMENT GROUP
HEAD PERSONNEL AND HUMAN RESOURCE,HEAD PERSONNEL AND HUMAN RESOURCE
JUNIOR PURCHASE ASSISTANT,JUNIOR PURCHASE ASSISTANT
VOCATIONAL INSTRUCTOR,VOCATIONAL INSTRUCTOR
SKILLED WORKER,SKILLED WORKER
WORKSHOP ATTENDANT,WORKSHOP ATTENDANT
PRADHAN NAVIK,PRADHAN NAVIK
PRADHAN ADHIKARI,PRADHAN ADHIKARI
SENIOR GEOLOGIST,SENIOR GEOLOGIST
ADMIRAL,ADMIRAL
VICE ADMIRAL,VICE ADMIRAL
REAR ADMIRAL,REAR ADMIRAL
COMMODORE,COMMODORE
COMMANDER,COMMANDER
LIEUTENANT COMMANDER,LIEUTENANT COMMANDER
SUB LIEUTENANT,SUB LIEUTENANT
MIDSHIPMAN,MIDSHIPMAN
MASTER CHIEF PETTY OFFICER 1ST CLASS,MASTER CHIEF PETTY OFFICER 1ST CLASS
MASTER CHIEF PETTY OFFICER 2ND CLASS,MASTER CHIEF PETTY OFFICER 2ND CLASS
CHIEF PETTY OFFICER,CHIEF PETTY OFFICER
PETTY OFFICER,PETTY OFFICER
LEADING RATE,LEADING RATE
SEAMAN 1ST CLASS,SEAMAN 1ST CLASS
SEAMAN 2ND CLASS,SEAMAN 2ND CLASS
MARSHAL OF THE INDIAN AIR FORCE,MARSHAL OF THE INDIAN AIR FORCE
AIR CHIEF MARSHAL,AIR CHIEF MARSHAL
AIR MARSHAL,AIR MARSHAL
AIR VICE MARSHAL,AIR VICE MARSHAL
AIR COMMODORE,AIR COMMODORE
GROUP CAPTAIN,GROUP CAPTAIN
WING COMMANDER,WING COMMANDER
SQUADRON LEADER,SQUADRON LEADER
FLIGHT LIEUTENANT,FLIGHT LIEUTENANT
FLYING OFFICER,FLYING OFFICER
FLIGHT CADET,FLIGHT CADET
MASTER WARRANT OFFICER,MASTER WARRANT OFFICER
WARRANT OFFICER,WARRANT OFFICER
JUNIOR WARRANT OFFICER,JUNIOR WARRANT OFFICER
SERGEANT,SERGEANT
CORPORAL,CORPORAL
LEADING AIRCRAFTMAN,LEADING AIRCRAFTMAN
AIRCRAFTSMAN,AIRCRAFTSMAN
FIELD MARSHAL,FIELD MARSHAL
GENERAL,GENERAL
LIEUTENANT GENERAL,LIEUTENANT GENERAL
MAJOR GENERAL,MAJOR GENERAL
BRIGADIER,BRIGADIER
COLONEL,COLONEL
LIEUTENANT COLONEL,LIEUTENANT COLONEL
MAJOR,MAJOR
CAPTAIN,CAPTAIN
LIEUTENANT,LIEUTENANT
SUBEDAR MAJOR,SUBEDAR MAJOR
SUBEDAR,SUBEDAR
NAIB SUBEDAR,NAIB SUBEDAR
HAVILDAR,HAVILDAR
NAIK,NAIK
LANCE NAIK,LANCE NAIK
CHIEF CONTROLLER OF MINES,CHIEF CONTROLLER OF MINES
CONTROLLER OF MINES,CONTROLLER OF MINES
ASSISTANT MINING ENGINEER,ASSISTANT MINING ENGINEER
CHIEF MINING GEOLOGIST,CHIEF MINING GEOLOGIST
ASSISTANT MINING GEOLOGIST,ASSISTANT MINING GEOLOGIST
CHIEF ORE DRESSING OFFICER,CHIEF ORE DRESSING OFFICER
SUPERINTENDING OFFICE - ORE DRESSING,SUPERINTENDING OFFICE - ORE DRESSING
ORE DRESSING OFFICER,ORE DRESSING OFFICER
ASSISTANT ORE DRESSING OFFICER,ASSISTANT ORE DRESSING OFFICER
CHIEF CHEMIST,CHIEF CHEMIST
SUPERINTENDING CHEMIST,SUPERINTENDING CHEMIST
SENIOR CHEMIST,SENIOR CHEMIST
CHIEF MINERAL ECONOMIST,CHIEF MINERAL ECONOMIST
SUPERINTENDING MINERAL ECONOMIST-1,SUPERINTENDING MINERAL ECONOMIST-1
MINERAL ECONOMIST-1,MINERAL ECONOMIST-1
MINERAL OFFICER-1,MINERAL OFFICER-1
JUNIOR MECHANICAL ENGINEER,JUNIOR MECHANICAL ENGINEER
DRAWING OFFICER,DRAWING OFFICER
ASSISTANT DRAWING OFFICER,ASSISTANT DRAWING OFFICER
SURVEY OFFICER,SURVEY OFFICER
ASSISTANT SURVEY OFFICER,ASSISTANT SURVEY OFFICER
ASSISTANT STORE OFFICER,ASSISTANT STORE OFFICER
FIRE SERVICE,FIRE SERVICE
SUB-OFFICER,SUB-OFFICER
CHILD DEVELOPMENT PROJECT OFFICER,CHILD DEVELOPMENT PROJECT OFFICER
FACULTY,FACULTY
PROJECT ECONOMIST,PROJECT ECONOMIST
SUB DEPUTY COLLECTOR,SUB DEPUTY COLLECTOR
FACULTY MEMBER,FACULTY MEMBER
JUNIOR DEVELOPMENT OFFICER,JUNIOR DEVELOPMENT OFFICER
NAVIK,NAVIK
UTTAM NAVIK,UTTAM NAVIK
UTTAM ADHIKARI,UTTAM ADHIKARI
YANTRIK,YANTRIK
UTTAM YANTRIK,UTTAM YANTRIK
PRADHAN YANTRIK,PRADHAN YANTRIK
SAHAYAK ENGINEER,SAHAYAK ENGINEER
UTTAM SAHAYAK ENGINEER,UTTAM SAHAYAK ENGINEER
PRADHAN SAHAYAK ENGINEER,PRADHAN SAHAYAK ENGINEER
CONTROLLER OF PATENTS AND DESIGNS,CONTROLLER OF PATENTS AND DESIGNS
EXAMINER OF TRADEMARKS AND GEOGRAPHICAL INDICATIONS,EXAMINER OF TRADEMARKS AND GEOGRAPHICAL INDICATIONS
SENIOR EXAMINER OF TRADEMARKS AND GEOGRAPHICAL INDICATIONS,SENIOR EXAMINER OF TRADEMARKS AND GEOGRAPHICAL INDICATIONS
REGISTRAR OF TRADEMARKS AND GEOGRAPHICAL INDICATIONS,REGISTRAR OF TRADEMARKS AND GEOGRAPHICAL INDICATIONS
DEPUTY AGRICULTURAL MARKETING ADVISOR,DEPUTY AGRICULTURAL MARKETING ADVISOR
SCIENTIST,SCIENTIST
SENIOR SCIENTIST,SENIOR SCIENTIST
PRINCIPAL SCIENTIST,PRINCIPAL SCIENTIST
DEMONSTARTOR ELECTRICAL ENGINEERING,DEMONSTARTOR ELECTRICAL ENGINEERING
COST ACCOUNTS OFFICER,COST ACCOUNTS OFFICER
RK Test Software Engineer,RK Test Software Engineer
GEOPHYSICIST,GEOPHYSICIST
SUPERINTENDING GEOPHYSICIST,SUPERINTENDING GEOPHYSICIST
ssasdf,ssasdf
DDR,DDR
ssss,ssss
Venky test,Venky test
Postion - test,Postion - test
Search assistant,Search assistant
Messenger,Messenger
M1,M1
DEO,DEO
LinkedIN,LinkedIN
JAI SREE RAM,JAI SREE RAM
drdo admin,drdo admin
asdf,asdf
DSP,DSP
PPL,PPL
Without form fileds,Without form fileds
With required fields,With required fields
kandagaddala,kandagaddala
ASSISTANT ASSISTANT,ASSISTANT ASSISTANT
ASSISTANT CHECK VALUE,ASSISTANT CHECK VALUE
Z Checking Without Description,Z Checking Without Description
a,a
A,A
Checking Position,Checking Position
Welcome Position,Welcome Position
Test position,Test position
ass,ass
Test 123,Test 123
venkat,venkat
sds,sds
sdds,sdds
asas,asas
Engineer,Engineer
AAAAAAAAAAAAAAAA,AAAAAAAAAAAAAAAA
ZZZZZZZZZ,ZZZZZZZZZ
YYYYYY,YYYYYY
